# Lab Licenses
| Package Name | License |
---------------|----------
| Brotli | MIT LICENSE |
| Cython | APACHE SOFTWARE LICENSE |
| Deprecated | MIT LICENSE |
| Faker | MIT LICENSE |
| Flask | BSD LICENSE |
| GitPython | BSD LICENSE |
| ImageHash | 2-CLAUSE BSD LICENSE |
| Jinja2 | BSD LICENSE |
| Mako | MIT LICENSE |
| Markdown | BSD LICENSE |
| MarkupSafe | BSD LICENSE |
| PyNaCl | APACHE LICENSE 2.0 |
| PyWavelets | MIT LICENSE |
| PyYAML | MIT LICENSE |
| Pygments | BSD LICENSE |
| SQLAlchemy | MIT LICENSE |
| Send2Trash | BSD LICENSE |
| Werkzeug | BSD LICENSE |
| absl-py | APACHE SOFTWARE LICENSE |
| ai21 | Apache License 2.0 |
| ai21-tokenizer | Apache License 2.0 |
| aiohappyeyeballs | PYTHON SOFTWARE FOUNDATION LICENSE |
| aiohttp | APACHE SOFTWARE LICENSE |
| aiolimiter | MIT LICENSE |
| aiosignal | APACHE SOFTWARE LICENSE |
| alembic | MIT LICENSE |
| altair | BSD LICENSE |
| annotated-types | MIT LICENSE |
| anthropic | MIT LICENSE |
| anyio | MIT LICENSE |
| argon2-cffi | MIT LICENSE |
| argon2-cffi-bindings | MIT LICENSE |
| arrow | APACHE SOFTWARE LICENSE |
| arxiv | MIT LICENSE |
| astor | BSD LICENSE |
| asttokens | APACHE 2.0 |
| attrs | MIT LICENSE |
| bce-python-sdk | APACHE LICENSE 2.0 |
| bcrypt | APACHE SOFTWARE LICENSE |
| beautifulsoup4 | MIT LICENSE |
| bleach | APACHE SOFTWARE LICENSE |
| blinker | MIT LICENSE |
| boto3 | APACHE SOFTWARE LICENSE |
| botocore | APACHE SOFTWARE LICENSE |
| cachetools | MIT LICENSE |
| certifi | MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0) |
| cffi | MIT LICENSE |
| charset-normalizer | MIT LICENSE |
| click | BSD LICENSE |
| cloudpickle | BSD LICENSE |
| cohere | MIT LICENSE |
| comm | BSD LICENSE |
| contourpy | BSD LICENSE |
| core | GNU GPL |
| cramjam | MIT |
| cryptography | APACHE SOFTWARE LICENSE;; BSD LICENSE |
| cycler | BSD LICENSE |
| dacite | MIT LICENSE |
| dask | BSD LICENSE |
| databricks-sdk | APACHE SOFTWARE LICENSE |
| dataclasses-json | MIT LICENSE |
| decorator | BSD LICENSE |
| deepmerge | MIT LICENSE |
| defusedxml | PYTHON SOFTWARE FOUNDATION LICENSE |
| deprecation | APACHE SOFTWARE LICENSE |
| dill | BSD LICENSE |
| diskcache | APACHE SOFTWARE LICENSE |
| distributed | BSD LICENSE |
| distro | APACHE SOFTWARE LICENSE |
| docker | APACHE SOFTWARE LICENSE |
| entrypoints | MIT LICENSE |
| env | BSD LICENSE |
| eval_type_backport | MIT LICENSE |
| executing | MIT LICENSE |
| faiss-cpu | MIT LICENSE |
| fastapi | MIT LICENSE |
| fastavro | MIT LICENSE |
| fastjsonschema | BSD LICENSE |
| fastparquet | APACHE SOFTWARE LICENSE |
| favicon | MIT LICENSE |
| feedparser | BSD LICENSE |
| filelock | THE UNLICENSE (UNLICENSE) |
| filetype | MIT LICENSE |
| fonttools | MIT LICENSE |
| fqdn | MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0) |
| frozenlist | APACHE SOFTWARE LICENSE |
| fsspec | BSD LICENSE |
| future | MIT LICENSE |
| geojson | BSD LICENSE |
| gitdb | BSD LICENSE |
| google-ai-generativelanguage | APACHE SOFTWARE LICENSE |
| google-api-core | APACHE SOFTWARE LICENSE |
| google-auth | APACHE SOFTWARE LICENSE |
| googleapis-common-protos | APACHE SOFTWARE LICENSE |
| gpt4all | MIT LICENSE |
| graphene | MIT |
| graphql-core | MIT LICENSE |
| graphql-relay | MIT LICENSE |
| greenlet | MIT LICENSE |
| grpcio | APACHE SOFTWARE LICENSE |
| grpcio-status | APACHE SOFTWARE LICENSE |
| gunicorn | MIT LICENSE |
| h11 | MIT LICENSE |
| h5py | BSD LICENSE |
| htbuilder | APACHE SOFTWARE LICENSE |
| htmlmin | BSD LICENSE |
| httpcore | BSD LICENSE |
| httpx | BSD LICENSE |
| httpx-sse | MIT |
| huggingface-hub | APACHE SOFTWARE LICENSE |
| humanize | MIT License |
| idna | BSD LICENSE |
| importlib_metadata | APACHE SOFTWARE LICENSE |
| inflate64 | GNU LESSER GENERAL PUBLIC LICENSE V2 OR LATER (LGPLV2+) |
| ipython | BSD LICENSE |
| ipython_pygments_lexers | BSD LICENSE |
| ipywidgets | BSD LICENSE |
| isoduration | ISC LICENSE (ISCL) |
| itsdangerous | BSD LICENSE |
| jedi | MIT LICENSE |
| jiter | MIT LICENSE |
| jmespath | MIT LICENSE |
| joblib | BSD LICENSE |
| jsonpatch | BSD LICENSE |
| jsonpath-ng | APACHE SOFTWARE LICENSE |
| jsonpointer | BSD LICENSE |
| jsonschema | MIT LICENSE |
| jsonschema-specifications | MIT LICENSE |
| jupyter-events | BSD LICENSE |
| jupyter_ai | BSD LICENSE |
| jupyter_ai_magics | BSD LICENSE |
| jupyter_client | BSD LICENSE |
